Species,Country.of.Origin,Region,Producer,Number.of.Bags,In.Country.Partner,Harvest.Year,Grading.Date,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Arabica,Colombia,huila,JAIME PULIDO / ALBINO MAHECHA / FREDDY MENDEZ,250,Almcafe,2012,"January 31st, 2012",Natural / Dry,7.67,7.33,7.25,7.42,7.5,7.67,10,10,10,7.58,82.42,0,442,442,442
Arabica,Honduras,comayagua,Reinerio Zepeda,275,Instituto Hondureno del Cafe,2017,"April 6th, 2017",Washed / Wet,7.5,7.58,7.33,7.5,7.42,7.42,10,10,10,7.58,82.33,0.1,1396,1396,1396
Arabica,Brazil,cerrado,Tulio Taft Bovaretto,320,Brazil Specialty Coffee Association,2016,"February 9th, 2017",Natural / Dry,7.33,7.5,7.5,7.33,7.5,7.5,10,10,10,7.67,82.33,0.11,982,982,982
Arabica,Brazil,south of minas,Ipanema Agricola,320,Brazil Specialty Coffee Association,2016,"August 16th, 2016",Natural / Dry,7.5,7.5,7.42,7.5,7.42,7.5,10,10,10,7.5,82.33,0.11,934,934,934
Arabica,Costa Rica,tarrazu,Martin Gutierrez,100,Specialty Coffee Association of Costa Rica,2015,"July 15th, 2016",Washed / Wet,7.75,7.5,7.25,7.25,7.42,7.67,10,10,10,7.5,82.33,0.1,1850,1850,1850
Arabica,Costa Rica,tarrazu,Johanna,130,Specialty Coffee Association of Costa Rica,2015,"May 17th, 2016",Washed / Wet,7.75,7.33,7.5,7.5,7.33,7.58,10,10,10,7.33,82.33,0,1550,1550,1550
Arabica,China,xishuangbanna prefecture,Yun Lan Coffee Co. Ltd,3,Yunnan Coffee Exchange,2015,"April 5th, 2016",Pulped natural / honey,7.5,7.58,7.42,7.5,7.42,7.42,10,10,10,7.5,82.33,0.12,1580,1580,1580
Arabica,Colombia,huila,Agrotello Coop,100,Specialty Coffee Association,2014,"November 21st, 2014",Washed / Wet,7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,7.83,83.67,0.11,1550,1700,1625
Arabica,Guatemala,huehuetenango,AMANCIO DEL VALLE CARRILLO,275,Asociacion Nacional Del Café,2015,"March 10th, 2015",Washed / Wet,7.5,7.42,7.17,7.83,7.5,7.5,10,10,10,7.42,82.33,0.1,1676.4,1676.4,1676.4
Arabica,Malawi,mzuzu,Mzuzu Coffee Planters Coop Union,10,Africa Fine Coffee Association,2014,"November 4th, 2014",Washed / Wet,7.33,7.58,7.42,7.58,7.33,7.5,10,10,10,7.58,82.33,0.12,1450,1450,1450
Arabica,Honduras,comayagua,Reynerio Zepeda,275,Instituto Hondureno del Cafe,2014,"April 8th, 2014",Natural / Dry,7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,7.83,83.5,0.1,1350,1350,1350
Arabica,Guatemala,jalapa,ROBERTO MONTERROSO,250,Asociacion Nacional Del Café,2014,"June 10th, 2014",Washed / Wet,7.58,7.67,7.5,7.58,7.75,7.5,9.33,10,10,7.42,82.33,0.12,1524,1524,1524
Arabica,Colombia,antioquia,SEVERAL,250,Specialty Coffee Association of Costa Rica,2013,"January 21st, 2014",Washed / Wet,7.42,7.33,7.5,7.17,7.08,8.33,10,10,10,7.5,82.33,0.1,1300,1300,1300
Arabica,Honduras,comayagua,Reynerio Zepeda,275,Instituto Hondureno del Cafe,2014,"April 8th, 2014",Natural / Dry,7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,83.17,0.11,1350,1350,1350
Arabica,Guatemala,oriente,ROBERTO MONTERROSO,250,Asociacion Nacional Del Café,2013,"July 16th, 2013",Washed / Wet,7.5,7.42,7.58,7.5,7.5,7.58,10,10,10,7.25,82.33,0.12,1310.64,1310.64,1310.64
Arabica,Mexico,"la concordia, chiapas",AGROINDUSTRIAS UNIDAS DE MEXICO SA DE CV,250,AMECAFE,2013,"March 15th, 2013",Washed / Wet,7.67,7.5,7.42,7.5,7.42,7.42,10,10,10,7.42,82.33,0.12,1300,1300,1300
Arabica,Guatemala,jalapa,"CAFE MOLINO MONTERROSO P,J. ROBERTO",275,Asociacion Nacional Del Café,2012,"October 5th, 2012",Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,7.33,82.33,0.11,1676.4,1828.8,1752.6
Arabica,Mexico,"jaltocan, hidalgo","SALAZAR HERNANDEZ, ROBERTO",10,AMECAFE,2012,"September 27th, 2012",Natural / Dry,7.58,7.67,7.58,7.33,7,7.58,10,10,10,7.58,82.33,0.15,441,441,441
Arabica,Mexico,veracruz,MANUEL HERRERA JUAREZ,10,AMECAFE,2012,"August 31st, 2012",Washed / Wet,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7,82.33,0.13,1170,1170,1170
Arabica,Guatemala,oriente,AGROPECUARIA QUIAGRAL,250,Asociacion Nacional Del Café,2012,"May 23rd, 2012",Washed / Wet,7.5,7.67,7.33,7.5,7.33,7.5,10,10,10,7.5,82.33,0.1,1310.64,1310.64,1310.64
Arabica,Mexico,santa catarina juquila,MARIA LUISA DELCARMEN ROJAS NARVAEZ,10,AMECAFE,2012,"March 5th, 2012",Washed / Wet,8,7.75,7.33,7.33,7.08,7.67,9.33,10,10,7.83,82.33,0.11,1200,1400,1300
Arabica,Colombia,huila,JAIME PULIDO / ERMILSON RAMOS,250,Almcafe,2012,"January 31st, 2012",Natural / Dry,7.83,7.58,7.33,7.25,7.58,7.42,10,10,10,7.33,82.33,0,442,442,442
Arabica,Guatemala,nuevo oriente,PABLO CHUY,275,Asociacion Nacional Del Café,2016,"August 31st, 2016",Washed / Wet,7.67,7.5,7.25,7.67,7.42,7.42,10,10,10,7.33,82.25,0.11,1450,1450,1450
Arabica,Brazil,cerrado,GERSON NAIMEG,300,Brazil Specialty Coffee Association,2014,"August 15th, 2014",Semi-washed / Semi-pulped,7.08,7.5,7.5,7.83,7.75,7.67,10,10,10,7.58,82.92,0.11,11000,11000,11000
Arabica,El Salvador,apaneca,"Tropical Farm Management El Salvador, S.A. de C.V.",275,Salvadoran Coffee Council,2014,"July 8th, 2015",Washed / Wet,7.58,7.67,7.5,7.67,7.83,8.42,9.33,9.33,9.33,7.58,82.25,0.12,1500,1500,1500
Arabica,Honduras,marcala,Omar Acosta,275,Instituto Hondureno del Cafe,2015,"April 15th, 2015",Washed / Wet,7.58,7.5,7.42,7.58,7.42,7.42,10,10,10,7.33,82.25,0.11,1350,1350,1350
Arabica,Malawi,mzuzu,Mzuzu Coffee Coop Union,10,Africa Fine Coffee Association,2014,"November 4th, 2014",Washed / Wet,7.58,7.42,7.33,7.42,7.58,7.5,10,10,10,7.42,82.25,0.13,1180,1180,1180
Arabica,Mexico,veracruz,MARIA DEL ROSARIO IRAIS VALDIVIA ORTIZ,150,AMECAFE,2013,"July 19th, 2013",Washed / Wet,7.58,7.58,7.42,7.42,7.42,7.42,10,10,10,7.42,82.25,0.12,1338,1338,1338
Arabica,Mexico,"calnali, hidalgo",FELIX DE LA CRUZ CASIMIRO,10,AMECAFE,2012,"September 27th, 2012",Washed / Wet,7.58,7.58,7.5,7.17,7.42,7.42,10,10,10,7.58,82.25,0.16,533,533,533
Arabica,Guatemala,antigua,"SIEMBRAS VISION, S.A.",275,Asociacion Nacional Del Café,2012,"September 19th, 2012",Washed / Wet,7.5,7.5,7.33,7.58,7.67,7.33,10,10,10,7.33,82.25,0.11,1390.8024,1390.8024,1390.8024
Arabica,Mexico,veracruz,MANUEL HERRERA JUAREZ,10,AMECAFE,2012,"August 31st, 2012",Washed / Wet,7.5,7.58,7.42,7.67,7.33,7.42,10,10,10,7.33,82.25,0.13,1170,1170,1170
